Номер	Слово	Номер урока	Перевод 1	Перевод 2	Перевод 3
1541	상처		Рана		
1543	지하철		Метро		
1545	현		Настоящий, существующий, актуальный		
1546	화면		Экран		
1547	군		Мистер.		
1548	대표적		Представитель		
1549	만일		Если, предположим,		
1550	사회적		Социально		
1552	이어		пошлость, сленг		
1553	주부		Жена		
1554	진리		Правда, факт		
1555	태양		Солнце		
1557	프로		Профессиональный		
1559	공급		Поставка, провизия		
1560	도로		Дорога, путь		
1561	잘못		ошибка		
1564	균형		Баланс или равновесие		
1565	기본적		Фундаментальный или основной		
1566	부족		Племя		
1567	사무실		Офис		
1568	이월		Февраль		
1569	일요일		Воскресенье		
1570	접근		Близость		
1572	개성		Индивидуальность или личность		
1576	보통		Обычно		
1580	죄		Преступление, грех		
1581	참		В действительности		
1582	총장		Президент, канцлер (университета)		
1583	핵심		Ядро		
1584	후반		Последнее / вторая половина		
1585	단순히		Просто		
1587	방문		Визит		
1588	불만		Недовольство		
1590	종		Сорт, вид		
1591	피		Кровь (которая течет)		
1592	강		Река		
1593	관객		Зритель		
1594	막		Прямо сейчас		
1595	밀리미터		Миллиметр		
1597	숫자		Фигура, количество		
1598	열		Тепло		
1599	왼쪽		Левая сторона		
1600	중세		Средние века		
1601	택시		Такси		
1602	통합		Единство, объединение		
1603	계산		Расчет		
1604	꼬리		Хвост		
1606	양식		Режим, стиль, порядок, модальность		
1607	예전		Старые дни, бывшие дни		
1608	전기		Электричество		
1609	주식		Акции		
1611	끊임없이		Постоянно или непрестанно		
1612	모델		Модель		
1614	상식		Здравый смысл		
1615	상표		товарный знак, бренд		
1619	고모		Тетя		
1621	민주화		Демократизация		
1622	보도		Новости, отчет		
1626	잡지		Журнал		
1628	공무원		Государственный служащий		
1630	댁		Вы и ваша семья		
1632	부족		отсутствие, дефицит, недостаточность		
1633	실시		исполнение		
1634	운명		Судьба, удача		
1635	재정		финансы, экономика		
1636	차라리		скорее, предпочтительно		
1637	학자		Ученый		
1640	대규모		В большом масштабе		
1641	동		такой же		
1642	민간		гражданского, частного		
1643	법원		Суд		
1644	비디오		Видео		
1645	사실상		На самом деле, на самом деле		
1647	이쪽		Эта сторона, наш путь		
1648	지대		Зона, пояс, район		
1652	기름		Масло или жир		
1655	연습		практика, упражнения		
1656	오른쪽		Правая сторона		
1657	용어		Техническая терминология		
1659	지도		Карта, атлас		
1660	지위		Должность, статус		
1662	화장실		Ванная комната		
1664	식량		продукты питания, положения		
1665	실험		Эксперимент, испытание		
1666	용기		Храбрость		
1667	토론		Дебаты, обсуждение		
1668	핵		Ядро		
1669	고급		Высший или первый класс		
1670	고생		Тяжелая жизнь или лишение		
1675	수석		Лучшее место		
1679	정상		Верхушка, саммит		
1680	제사		Церемония, праздник		
1681	주말		Выходные		
1682	지혜		Мудрость, остроумие		
1683	참새		Воробей		
1684	화장품		косметика		
1686	깨끗이		Чистый, аккуратный		
1688	내년		Следующий год		
1689	농산물		Сельскохозяйственные продукты		
1690	눈앞		Перед глазами		
1691	대학생		Студент университета		
1694	사고		мысль, созерцание		
1695	순서		Система, порядок, последовательность		
1696	아무래도		Никогда на любой счет, независимо от того, что		
1697	연구소		Исследовательский институт		
1698	올		В этом году		
1700	이사		Переезд (смена места жительства)		
1702	틈		Трещина, разрыв, открытие		
1703	가령		"Например; если предположить, или признать"		
1707	생일		День рождения		
1708	섬		Остров		
1709	이하		Менее, ниже		
1711	토대		Фундамент, база		
1712	해결		Решение, поселение		
1713	행복		Счастье		
1715	근로자		Рабочий		
1716	글쎄		"Сейчас; хорошо; дайте мне посмотреть"		
1717	목숨		Жизнь		
1718	백화점		Универмаг		
1720	병		Бутылка		
1723	여론		Общественное мнение		
1724	의복		Одежда, швейные изделия		
1725	체조		Гимнастика		
1727	현실적		"Приземленный; реалистичный"		
1728	화제		Предмет разговора		
1730	고양이		Котенок		
1731	공격		Атака		
1732	물가		Цены на продукты		
1733	민주주의		Демократия		
1734	불안		Беспокойство, тревога		
1736	여유		заповедник, профицит		
1737	의문		Вопрос, сомнение		
1738	중학교		Средняя школа		
1739	킬로미터		Километр		
1740	파도		Волны, валы		
1741	흰색		серый, пепельный		
1742	가수		Певец		
1743	단		Только один		
1744	방송국		Радиостанция		
1748	압력		давление, стресс		
1749	예금		Деньги на депозите		
1751	입학		Прием в школу		
1752	증권		ценные бумаги, документы, дело		
1753	직후		Сразу же после		
1754	차량		транспортные средства, автомобили		
1755	출산		Рождение ребенка		
1757	선진국		Развитая страна		
1758	약		Медицина		
1759	어느새		В мгновение ока, быстро		
1760	재판		Пробная		
1761	저쪽		Вон там, в этом направлении		
1762	제자		Ученик		
1763	창문		Окно		
1764	초		Второй		
1765	치즈		Сыр		
1766	회복		Восстановление, рекуперация		
1767	구역		Зона или район		
1768	대응		Противостояние, оппозиция		
1771	소비		Потребление		
1772	심장		Сердце		
1773	아이고		Боже мой!		
1774	조용히		Спокойно		
1775	중소기업		Малые и средние предприятия		
1776	직접적		Непосредственно сразу		
1777	진실		Правда, искренность		
1778	필자		Писатель, автор		
1779	협력		Сотрудничество		
1780	가스		Газ		
1781	계층		Класс или социальный слой		
1782	구멍		Дыра		
1783	담당		Зарядка, присмотр		
1784	만화		Мультфильмы		
1788	살짝		мягко, легко, просто немного, украдкой, исподтишка		
1790	우유		Молоко		
1791	인상		Вытягивание, рисование		
1794	태아		Плод, еще не родившегося ребенка		
1796	괜히		Напрасно или бесполезно или бесплодно, по глупой причине		
1798	날개		Крылья		
1799	녀석		Человек		
1800	눈빛		Блеск глаз		
1801	단지		Общественный квартирный комплекс		
1802	물속		Внутри воды		
1803	민주		Демократия		
1805	소나무		Сосна		
1806	여기저기		Тут и там		
1807	여인		красота, красавица		
1810	표		Маркер, индикация		
1811	필요성		Необходимость		
1814	부위		Область, часть		
1817	십일월		Ноябрь		
1819	아울러		И, как вместе		
1820	지시		Направлени, заказы		
1822	형제		Братья и сестры		
1824	거울		"зеркало; модель или образец"		
1826	몇몇		Несколько		
1827	무기		Оружие		
1828	세계적		Международный		
1829	안전		Безопасность		
1830	양파		Лук (овощ)		
1831	이상		Недомогание, нарушение		
1832	일종		Вид, род		
1833	처지		Ситуация, обстоятельства		
1834	촬영		Фотографирование, фото и видеосьемка		
1837	형편		Ситуация, положение вещей		
1838	가지		Баклажан		
1840	고추		Красный перец		
1841	규칙		Правила или положения		
1842	본질		Правда природа, сущность		
1844	빵		Хлеб		
1845	서서히		Медленно, постепенно		
1846	스승		Учитель, мастер		
1847	신분		Социальное положение		
1849	아마도		Вероятно		
1850	안방		Внутренняя комната		
1852	어제		Вчера		
1853	오직		Только, лишь, исключительно		
1855	자신		Самоуверенность		
1856	잠시		На некоторое время		
1858	증거		свидетельства, доказательства		
1859	초점		Фокус		
1861	호랑이		Тигр		
1863	공포		Страх или ужас		
1864	권위		"власть или влияние; достоинство или престиж"		
1865	덜		Меньше, неполностью		
1867	본래		Первоначально, в первую очередь		
1868	부엌		Кухня		
1869	세금		Налог		
1870	실정		Реальная ситуация		
1871	영양		Питание		
1872	육체		Плоть, тело		
1873	입구		Вход		
1874	잔뜩		чрезвычайно		
1875	적극		Положительный		
1876	최소한		По крайней мере		
1879	그이		Этот человек, или он или его / ее или она		
1882	대기		Атмосфера		
1883	독립		Независимость		
1884	머릿속		Внутри головы		
1885	북쪽		Северное направление		
1887	쇠고기		Говядина		
1888	위반		Нарушение		
1889	카드		Карта		
1890	평생		Жизнь, жизненный путь		
1892	간부		Лидеры		
1893	관념		Идея или понятие		
1894	굉장히		Очень сильно		
1895	단어		Слово		
1898	도입		введение, приглашение		
1900	배우		Актер		
1902	신발		обувь		
1903	알		Яйцо, икра		
1905	여건		Постулат, данное условие		
1906	오래전		С давних пор		
1907	자격		Квалификация		
1908	통제		контроль, регулировка		
1909	계단		Лестница или набор лестницы		
1910	김치		Кимчи		
1913	높이		Высота (существительное)		
1915	마음속		Глубоко в сердце		
1918	뼈		Кости		
1920	소속		Принадлежать к, прикрепленный к		
1922	장사		торговля, бизнес		
1923	제작		изготовление, производство		
1924	제한		пределы, границы		
1926	추진		Привод, вождение		
1928	콩		Фасоль		
1929	한숨		Дыхание		
1933	너머		За, с другой стороны		
1934	여간		немного		
1935	마련		"планирование, принятие мер; положения, подготовление"		
1936	살		плоть, мышцы		
1937	선장		Капитан		
1938	설탕		Сахар		
1940	스타일		Стиль		
1941	시점		Момент времени		
1943	의사		Намерение, цель		
1944	집중		Концентрация		
1945	코드		Код		
1946	큰일		Важно дело, дело серьезное		
1947	거짓말		Обман, ложь		
1949	대단히		Чрезвычайно		
1950	마주		Лицом к лицу		
1951	세계관		Мировоззрение		
1952	온통		Полностью		
1954	자세히		В деталях		
1955	점심		Обед		
1956	정확히		Точно		
1958	청년		Молодой человек, молодежь		
1959	혀		Язык (часть тела)		
1961	후춧가루		Молотый перец		
1963	경쟁력		Конкурентоспособность		
1964	마침		Просто, точно		
1965	신용		доверие, уверенность		
1966	연락		Подключение, связь		
1967	온몸		Все тело		
1968	정		Чувство привязанности		
1969	정신적		Психический		
1970	증상		Симптомы		
1972	칼		Нож		
1973	한꺼번에		Все вместе		
1974	강제		Принуждение		
1977	낚시		Рыбалка		
1979	문자		"письмо; сообщение"		
1983	신부		Невеста		
1985	오징어		Каракатица, кальмар		
1986	요금		Рейт, тариф		
1987	용돈		Карманные деньги		
1988	위주		Первый по важности		
1989	음료		Напиток		
1990	의자		Кресло		
1991	전자		Электрон		
1993	전환		Конвертировать, обменивать, изменять		
1994	지경		Граница, ситуация, состояние		
1995	진행		Прогресс, продвижение		
1996	카메라		Камера		
1997	통증		Боль		
1999	하천		Река, ручей		
2000	현금		Наличные, готовые средства, не кредитные карты		
2001	화학		Химия		
2005	그나마		"Даже если; все же"		
2006	껍질		Кожа или ореховая скорлупа		
2007	남부		Южная часть		
2008	명령		Порядок, команда		
2009	몰래		тайно, тихо		
2010	무조건		Безусловный		
2011	반장		Лидер команды		
2012	부근		район, окрестности		
2013	선택		Выбор		
2014	역사가		Историк		
2015	연구자		Исследователь		
2016	연기자		Исполнитель, актер		
2018	줄기		Ствол, стебель		
2020	토요일		Суббота		
2021	경찰관		полицейский		
2023	극장		Театр		
2024	끝내		Конец		
2025	대문		Большие ворота		
2026	더욱이		Кроме того, к тому же		
2027	별도		Отдельный способ		
2028	비극		Трагедия		
2029	솜씨		мастерство, умение		
2030	시내		Город		
2031	신		радость, восторг		
2032	실내		В комнате		
2035	외교		Дипломатия		
2036	주머니		Карман		
2037	계약		Контракт		
2038	과장		Начальник отдела		
2039	극		Драма или игра		
2040	나란히		В строке		
2041	다방		Чайная комната		
2043	성공		Успех, достижение		
2045	신청		заявление, просьба		
2046	실로		действительно		
2047	아픔		Боль		
2049	약간		Некоторые, немного		
2050	연기		Дым		
2051	이동		Движение, миграция, дрейф		
2052	인연		Причина и повод		
2053	일행		"Партия, труппа; ряд, линия"		
2054	지도		Инструкция, руководство		
2055	지식인		Интеллектуальный		
2058	호흡		Дыхание		
2060	기온		Температура		
2063	바위		Камень, скала		
2064	버릇		Привычка		
2068	술집		Бар		
2070	오랜만		После долгого времени		
2071	일부러		С целью, намеренно		
2072	전체적		полностью, как правило,		
2073	절반		Половина		
2076	확실히		конечно, наверняка		
2079	교류		"Обмен (культурный); переменный ток (электрический)"		
2080	글쓰기		Почерк		
2081	기후		Климат и погода		
2082	내내		Все вместе, все время		
2083	대기업		Большой предприятия		
2085	도구		Инструмент		
2086	매력		увлечение, очарование		
2087	백		Сто		
2088	보험		гарантия, страхование		
2090	부장		Руководитель отдела		
2092	소		Корова		
2093	심리		Психическое состояние		
2094	심정		чье-тоо сердце, чьи-то чувства		
2096	아줌마		Старая или замужняя дама		
2099	이틀		Два дня		
2101	정말로		Действительно		
2104	코너		Угол		
2106	형사		Уголовное дело		
2107	희곡		Драма, игра		
2108	감동		Агитация, разжигание эмоций		
2109	공항		Аэропорт		
2110	군인		Военный, солдат		
2111	굳이		Твердо		
2112	그늘		"оттенок; родительский контроль"		
2114	달걀		Яйцо		
2115	대중문화		Популярная культура		
2117	마루		Деревянный пол		
2118	무게		Вес		
2119	물기		Влажность		
2120	성적		Результат, класс		
2121	솔직히		честно говоря, откровенно		
2123	아니요		Нет в вежливой форме		
2124	예절		приличие		
2125	인상		Впечатление, отпечаток		
2126	인터넷		Интернет		
2128	전통적		Традиционный		
2130	치마		Юбка		
2131	친척		Родственники		
2133	호텔		Отель		
2134	경계		Граница		
2135	공식		Формула или формальность		
2136	그다지		"Так много; в той мере"		
2137	긴장		Напряженность		
2139	다리		Мост		
2141	명예		Честь		
2142	뱃사람		Моряк		
2143	부처		Будда		
2145	아가씨		Мисс, юная леди		
2146	온도		Температура		
2147	이마		Лоб		
2148	절대로		Абсолютно		
2149	지붕		Крыша		
2151	진짜		Реальный		
2153	창밖		За окном		
2154	청소		Уборка		
2155	침묵		Молчание		
2156	텍스트		Текст		
2157	표면		Перед, поверхность, внешний вид		
2158	햇살		Лучи солнца		
2159	객관적		Цель		
2161	경제적		Экономичный		
2162	구름		Облако		
2163	구석		"угол; место которое не по пути"		
2167	부대		Отряд		
2168	불빛		Свет от огня		
2169	서클		Круг		
2170	시청자		Представитель TV аудитории		
2171	실체		вещество, сущность		
2175	절		Буддийский храм		
2176	종업원		Официант / официантка		
2177	증가		Увеличение		
2178	출연		Выступление на сцене		
2179	학기		Семестр		
2180	한동안		Долгое время		
2181	후기		Поздний период		
2182	계절		Сезон		
2184	목사		Пастор		
2185	바늘		Игла, булавка		
2187	부		Отдел, часть		
2189	비중		Удельный вес		
2190	수입		Доход		
2191	아이디어		Идея		
2192	양쪽		Обе стороны		
2193	예컨대		Например, такие, как		
2194	운동장		Стадион, игровая площадка		
2195	전개		разворачивание, развитие, расширение		
2196	접촉		контакт, нажатие		
2197	짐		"Багаж; что надето на человека"		
2198	풀		Трава		
2200	후배		чай-то младший		
2201	휴가		праздники, каникулы		
2202	경기		Состояние бизнес-рынка		
2203	계곡		Долина или ущелье		
2204	국회의원		Член национальной ассамблеи		
2206	도저히		"Абсолютно (в паре с отрицанием - ""Абсолютно невозможно""); во всех смыслах"		
2216	정치권		Политические права		
2217	처녀		Девственница, дева молодая		
2218	축제		Фестиваль		
2220	학습		Обучение, образование		
2222	높이		Высокий, в воздухе (наречие)		
2223	당연히		Конечно		
2225	마구		постоянно, без паузы		
2226	만남		Встреча		
2227	미디어		Средства массовой информации		
2228	복도		Коридор		
2229	수상		Премьер министр		
2231	영상		Изображение, отражения (движущиеся изображения, фильмы)		
2232	영혼		Душа, дух		
2233	운전사		Водитель (такси)		
2235	잠깐		На некоторое время		
2238	주		Одна неделя		
2239	지속적		Непрерывный		
2241	차별		Различие, дифференцировка		
2242	곳곳		Везде		
2243	구분		Разделение или раздел		
2244	금지		Запретный		
2245	내지		От А до B		
2247	분노		ярость, гнев		
2248	비교		Сравнение		
2249	소위		Называемый		
2251	역사적		Историческая		
2252	열차		Поезд		
2253	요즈음		Недавно, в настоящее время		
2254	유난히		редко, исключительно		
2255	의무		Долг, обязанность		
2257	잠깐		На некоторое время		
2259	정식		Формальность		
2261	즉시		Сразу		
2262	최선		Максимум, чей-то лучший		
2263	탑		Башня		
2264	한복		Хэнбок, корейский традиционная одежда		
2266	건축		Строительство или возведение		
2270	말		Лошадь		
2271	밀가루		Порошок		
2272	바깥		Вне		
2273	바지		Брюки		
2275	보고서		Отчет		
2278	빨래		стирка, прачечная		
2280	설치		учреждение		
2281	식용유		Растительное масло		
2283	업종		Виды промышленности		
2284	연출		Производство, презентация		
2285	테이블		Стол		
2288	한국어		Корейский язык		
2289	한자		Ханча, китайские иероглифы в корейском языке		
2290	겁		Страх или испуг		
2291	관리		Чиновник		
2292	국제화		Интернационализация		
2293	근육		Мышцы		
2295	사전		заранее, заранее		
2296	산소		Кислород		
2297	석유		Нефтяной		
2299	시		Город		
2301	안경		Очки		
2303	연합		Комбинация, federacy, объединение		
2304	인격		Личность, характер		
2305	장		Глава в книге		
2306	적		Враг		
2308	질		Качество, характер		
2310	책임자		Ответственный		
2311	총		Все, вся, вся		
2312	취미		Хобби		
2313	표		Маркер, индикация		
2314	품목		Название статьи, список статей		
2316	거실		Гостиная		
2317	논		Рисовые поля		
2319	바보		Невежественный		
2320	별		Классификация по		
2321	보람		стоит, результат		
2322	부작용		реакция, побочный эффект		
2323	비난		Критика, упрек		
2324	신고		Заявление, декларация		
2325	야구		Бейсбол		
2327	예상		"Ожидание, ожидание; Прогноз, предвзятое, предчувствие"		
2328	위협		Угроза, угроза, запугивание		
2329	이		Зуб		
2330	이상		Идеал, цель		
2333	주먹		Кулак		
2334	지지		поддержка, поддержка		
2336	경고		Предупреждение		
2338	과목		Предмет или урок		
2339	구경		Приятным зрелище или спектакль		
2340	그분		Этот человек (уважительно)		
2341	근무		Обязанность или услуг или работ		
2342	논쟁		Споры, аргумент		
2345	성명		Декларация, заявление		
2346	소스		Соус		
2347	수십		Десятки СТГ		
2349	우리말		Корейский язык		
2350	유교		Конфуцианство		
2351	이불		Постельные принадлежности, постельное белье		
2352	이성		Причина, рассуждения		
2353	일상		Каждодневно, обычно		
2354	자동		самостоятельность, автоматичность		
2355	장래		Будущее		
2358	중요성		Важность, гравитация		
2360	탤런트		Талант		
2361	특별히		Особенно		
2362	품질		Качество статьи		
2363	회견		Интервью, встреча		
2365	흔적		следы, знаки, свидетельства		
2366	고전		Классика в литературе		
2367	과학적		Научно		
2369	그럼		"Междометие ""тогда"""		
2370	뇌		Мозги		
2371	봉투		Конверт		
2372	분명		Очевидность		
2373	사설		Редакция		
2374	승리		Победа		
2375	좌우		Лево и право		
2376	주		работодатель, хозяин		
2378	추억		Память		
2379	하여튼		В любом случае		
2380	함부로		Без разбора, наугад		
2381	향기		аромат, духи		
2382	현지		Фактическое место, самая точка		
2384	개인적		Частный, личный		
2385	겉		Наружная поверхность		
2388	깜짝		С удивлением		
2390	대		"в сравнении с; противоположность, пара"		
2391	매년		Каждый год		
2392	발생		"Рождение; развитие"		
2393	셋		Три		
2394	소주		Соджу		
2395	손바닥		Пальма		
2396	승용차		Легковой автомобиль		
2399	의학		Медицинская наука		
2400	장점		Заслуга, сильная сторона		
2401	적당히		подходящий		
2403	진출		Продвижение		
2404	창조		Создание		
2405	킬로그램		Килограмм		
2407	프로		Программа		
2408	홍보		Общественная информация, связи с общественностью		
2409	확인		Проверка, подтверждение		
2410	가루		"Порошок или мука; еда"		
2414	대량		Большое количество		
2418	방금		Прямо сейчас		
2419	생선		Сырая рыба		
2420	슬픔		Печаль		
2423	이튿날		На второй день после		
2424	임시		Временная, особая		
2427	지구		Район, регион		
2429	참기름		Кунжутное масло		
2430	통		Ванна, бочка		
2431	특수		Характерность, различие, уникальность		
2432	팬		Фанаты		
2434	호기심		Любопытство		
2435	골목		Переулок		
2436	기운		Сила или мощь (сила, которую вы чувствуете в определенный день)		
2437	기획		Планирование		
2438	대충		Почти, возле		
2442	본성		Оригинальный характер		
2444	생산력		Производительность		
2446	유학		Обучение за рубежом		
2448	장비		оборудование, принадлежности		
2449	정치인		Политик		
2450	정치적		Политическая		
2451	졸업		Градация		
2452	처벌		наказание, штраф		
2453	카페		Кофейня, кафе		
2454	콤플렉스		Комплекс		
2455	검토		Экспертиза или расследования или исследования		
2456	그다음		Следующий		
2457	기법		Методы		
2460	농담		Шутка		
2461	닭		Курица		
2462	담임		Обязанность, долг		
2463	도중		В пути		
2464	맥주		Пиво		
2465	모래		Песок		
2467	살인		Убийство		
2468	성질		распоряжения		
2469	신호		Сигнал, сигнализация		
2470	아버님		Отец (уважительное слово)		
2472	인		Персона		
2475	자판		Клавиатура		
2476	적용		Приложение		
2477	전기		Бывший период / срок		
2478	중반		В средней стадии (в игре или конкурсе)		
2480	출발		Для начала (путешествие, поездка)		
2482	가르침		Обучение или инструкции		
2483	각국		Каждая страна		
2484	교과서		Учебник		
2486	꾸준히		Неустанно, непрерывно		
2487	년도		Год		
2488	다수		Большое количество		
2489	덕분		Задолженность		
2490	무리		Необоснованно		
2491	물음		Вопрос		
2493	수영		Плавание		
2494	스님		Священник		
2496	어머님		Мать (уважительное слово)		
2498	여보		Супруга		
2500	정면		Перед, фасад		
2501	조각		Скульптура		
2503	해석		Интерпретация, комментарий		
2505	개국		Основание страны		
2507	근원		Происхождения или корень или источник		
2508	기차		Поезд		
2510	마음대로		Как хотите		
2511	며느리		Невестка		
2512	믿음		Вера		
2513	발견		Открытие		
2514	보고		Отчет, информация		
2516	사용자		Пользователь, потребитель, работодатель		
2517	사회주의		Социализм		
2519	수도권		Столичная область		
2520	식탁		Обеденный стол		
2523	우연히		случайно		
2524	자극		Стимул		
2527	총리		Общий контроль, председательство		
2528	칭찬		Гордость, восхищение		
2530	햇빛		Солнце, солнечный свет		
2531	공원		Парк		
2532	긍정적		Подтверждение или вход		
2534	대출		Кредитование		
2535	덕		Добродетель, мораль		
2536	먼지		Пыть		
2537	바닷가		Пляж		
2543	사원		Служащий компании		
2544	소유자		Владелец		
2546	아무튼		В любом случае		
2548	액수		Сумма, количество		
2549	왠지		"Я не знаю почему; нет никаких оснований для него"		
2550	욕심		Жадность, эгоизм		
2551	우승		Первое место		
2555	직전		Непосредственно перед		
2558	터		Сайт, место		
2559	피시		ПК, персональный компьютер		
2561	가구		Семья		
2562	간단히		Проще говоря		
2563	강물		Речная вода		
2564	궁극적		Наконец, либо в конце концов		
2565	극히		Чрезвычайно или крайне		
2567	꼭		Плотно или быстро		
2568	날짜		Дата		
2569	대륙		Континент		
2570	모니터		Монитор		
2571	범인		Преступник		
2572	변동		Изменение, флуктуация		
2575	샌드위치		Сэндвич		
2576	서류		документы, бумаги		
2577	손해		повреждения, травмы		
2579	아유		Боже мой!		
2580	요청		просьба, требование		
2581	운		Фортуна, удача, судьба		
2582	일상생활		Ежедневная жизнь, обычная жизнь		
2583	자존심		Самоуверенность		
2585	증권사		Корпоративные бумаги		
2587	초원		Равнина		
2588	최종		конец, финал		
2591	흥미		интерес, рвение		
2592	검사		Прокурор		
2593	그쪽		Эти люди		
2596	눈썹		Брови		
2598	마디		Слово, мелодия, песня, пункт		
2599	미처		В этом смысле		
2600	비닐		тонкий лист пластика, винила		
2601	비율		Отношение, процент		
2602	생물		Живое существо		
2603	소음		Шум, какафония		
2604	양국		Обе страны		
2605	얼핏		На первый взгляд или при редком появлении		
2607	웬		Какие, какой вид		
2608	조각		Кусок, лом, фрагмент		
2609	중부		Центр, средняя часть		
2610	차		Чай		
2611	채소		овощи, зелень		
2612	침		Плевок		
2613	털		"Волосы; мех, перья"		
2615	항의		Протест		
2616	해당		Подпадать под сферу компетенции		
2617	확보		безопасность, страхование		
2618	환경오염		Загрязнение окружающей среды		
2619	가치관		ценности или чувство ценностей, система ценностей		
2620	검은색		Черный или темный		
2622	기원전		До нашей эры		
2623	기타		Остальные		
2624	긴급		Аварийный, неотложный		
2627	무려		Как и многие, как, не менее		
2629	수표		Проверка		
2630	실태		Реальные условия, реальность		
2632	애정		Любовь к человеку, страсть		
2633	얘		Эй!		
2634	어머		Боже мой!		
2635	여보세요		Алло		
2636	일정		Быть фиксированным, размещенный, регулярным		
2637	장르		Жанр		
2640	정성		Чистосердечность, преданность		
2641	제약		Состояние, ограничение		
2643	추가		Добавление		
2644	테이프		Кассета		
2645	품		"Ширина; грудь (для одежды)"		
2646	해석		Анализ, аналитические исследования		
2649	간장		Соевый соус		
2650	강의		Лекция или дискурс		
2651	거		Эта вещь		
2653	과		"Курс или филиал исследования; отдел или факультет"		
2654	교환		Обмен		
2655	국어		"национальный язык; Корейский"		
2658	상		Верхний		
2659	새		Интервал		
2660	악기		Музыкальный инструмент		
2661	연말		Конец, конец года		
2664	원고		Рукопись		
2665	줄곧		Все время, неоднократно, постоянно		
2666	지출		Расходы		
2667	차		Разница, маржа		
2669	피로		Усталость, утомление		
2670	향		духи, благовония		
2672	계좌		Счет		
2675	말기		Конец, последний период		
2676	말없이		Бессловно, без слов		
2678	문서		Документ		
2679	박수		Аплодисменты		
2680	부자		Богатый человек		
2681	사흘		Три дня		
2682	서쪽		Запад		
2684	손자		Внук		
2685	신랑		Жених		
2686	실습		Фактическая подготовка, практика		
2687	일찍이		Рано		
2688	자율		самоконтроль, самостоятельность		
2689	제법		достаточно, довольно, значительно		
2691	창조적		Творчески		
2692	천장		Потолок		
2694	하긴		Действительно, если, тем не менее,		
2696	향상		"Улучшение; возвышение"		
2697	화가		Художник		
2700	고작		Лучший, высший		
2702	국물		суп или бульон или соус		
2703	기구		Посуда или инструмент		
2706	대합실		Зал ожидания		
2708	매장		Магазин		
2710	명칭		Имя, название		
2712	상업		коммерция, торговля		
2715	실력		реальная способность, талант		
2716	야채		Овощи		
2717	엉덩이		Ягодицы		
2718	울음		плач		
2719	이달		Этот месяц		
2720	인체		Человеческое тело		
2721	저고리		Пальто, корейская куртка		
2722	전부		Все,		
2723	즐거움		удовольствие, веселье		
2725	진단		Диагноз		
2726	질병		Болезнь		
2728	체력		Физическая сила		
2731	각기		Каждый в отдельности		
2732	경찰서		Отдел полиции		
2733	곧바로		Сразу		
2734	관찰		Наблюдение или опрос		
2735	구두		Ботинки, сапоги		
2736	군사		Солдат		
2737	귀신		Призрак		
2739	그토록		"Так много; до такой степени"		
2741	깊이		Глубина		
2742	나뭇가지		Ветка дерева		
2745	대가		Цена, стоимость, сбор, значение		
2746	더위		Тепло, отопление		
2748	무덤		Могила, гробница		
2749	물결		Волна		
2750	밥상		Обеденный стол		
2752	사과		Яблоко		
2754	서너		Около трех, три или четыре		
2756	실패		Отказ		
2758	예외		Исключение		
2759	완전		Совершенство, полнота		
2761	유리		Стекло		
2762	절대적		абсолютная, безусловная		
2764	쥐		Мышь		
2765	최대한		В лучшем случае, в максимуме		
2766	턱		Подбородок		
2769	하하		Ха-ха		
2770	형부		Муж старшей сестры девушки		
2771	휴식		Отдых, отдохнуть		
2775	금년		В этом году		
2776	기기13		Оборудование и инструменты		
2778	나침반		Компас		
2779	농부		Фермер		
2780	대학원		Высшая школа		
2784	무늬		Шаблон		
2785	문장		письмо, композиция		
2787	변호사		Адвокат		
2788	상		Статуя, фигура		
2789	상상력		Творческие силы		
2790	여학생		Студентка		
2791	영업		бизнес, делание бизнеса		
2792	예		Старые дни, дни прошедшие		
2793	예방		Предупреждение, защита		
2794	완성		завершение, благоустройство		
2796	자연환경		Природные окрестности		
2799	지점		Пятно, точка		
2800	철저히		Тщательно		
2801	코스		Курс		
2802	학부모		Матери студентов		
2803	합리적		Рациональное, разумное		
2806	거듭		"Опять; снова и снова"		
2811	냉장고		Морозильник		
2812	당근		Морковь		
2814	마누라		Чья-то жена		
2818	연속		непрерывность, преемственность		
2820	욕		Оскорбление		
2821	원장		Глава, руководитель		
2822	유물		Реликвия, культурные остатки		
2823	저절로		Само по себе, по своей собственной воле		
2824	절		Поклон в приветствии		
2825	정비		Поддержание оборудования в хорошем рабочем состоянии		
2826	주의		внимание, уведомление		
2827	지난번		Последний раз		
2829	통계		Статистика		
2830	파일		Файл		
2831	판		Матч, игра, конкурс		
2832	피해자		Страдалец, потерпевшая сторона		
2833	필수적		Необходимый, необходимость		
2834	학용품		Школьные вещи, принадлежности		
2835	화분		Цветочный горшок		
2837	갈색		Коричневый		
2838	감기		Холод		
2839	강남		К югу от реки		
2842	반발		Отвращение, зазор		
2843	반찬		Гарнир		
2844	방지		Профилактика, проверка		
2846	보장		гарантия, безопасность		
2850	씨		Семена		
2851	안쪽		Внутри, внутренняя часть		
2855	음성		Голос		
2856	이윽고		Через некоторое время, вскоре		
2857	장식		Украшение		
2859	전날		Накануне, за день до		
2860	전반적		всё		
2862	풍습		обычаи, нравы, ритуалы		
2863	한가운데		Самый средний, центральный		
2866	흉내		Имитация, мимикрия		
